GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Mudrod :: Core,gov.nasa.jpl.mudrod.ontology.pre,AggregateTriples,393,0,28,0,89,0,23,0,9,0
Mudrod :: Core,gov.nasa.jpl.mudrod.ontology,OntologyFactory,58,0,10,0,13,0,9,0,3,0
Mudrod :: Core,gov.nasa.jpl.mudrod.ssearch.structure,SResult,527,0,10,0,91,0,12,0,7,0
Mudrod :: Core,gov.nasa.jpl.mudrod.ontology.process,LocalOntology,549,126,70,10,136,36,52,9,14,7
Mudrod :: Core,gov.nasa.jpl.mudrod.ontology.process,EsipPortalOntology,10,0,0,0,7,0,6,0,6,0
Mudrod :: Core,gov.nasa.jpl.mudrod.ontology.process,OwlParser,218,40,33,3,51,12,21,4,3,4
Mudrod :: Core,gov.nasa.jpl.mudrod.ontology.process,OntologyLinkCal,270,0,14,0,43,0,11,0,4,0
Mudrod :: Core,gov.nasa.jpl.mudrod.ontology.process,EsipCOROntology,10,0,0,0,7,0,6,0,6,0
Mudrod :: Core,gov.nasa.jpl.mudrod.weblog.structure,SessionExtractor.new Function2() {...},13,0,0,0,2,0,2,0,2,0
Mudrod :: Core,gov.nasa.jpl.mudrod.weblog.structure,SessionExtractor.new FlatMapFunction() {...},63,0,2,0,14,0,3,0,2,0
Mudrod :: Core,gov.nasa.jpl.mudrod.weblog.structure,SessionExtractor.new FlatMapFunction() {...},13,0,0,0,3,0,2,0,2,0
Mudrod :: Core,gov.nasa.jpl.mudrod.weblog.structure,SessionExtractor.new Function2() {...},20,0,0,0,5,0,2,0,2,0
Mudrod :: Core,gov.nasa.jpl.mudrod.weblog.structure,SessionExtractor.new PairFunction() {...},43,0,4,0,9,0,4,0,2,0
Mudrod :: Core,gov.nasa.jpl.mudrod.weblog.structure,SessionExtractor.new Function2() {...},16,0,2,0,2,0,3,0,2,0
Mudrod :: Core,gov.nasa.jpl.mudrod.weblog.structure,RequestUrl,707,0,98,0,134,0,57,0,8,0
Mudrod :: Core,gov.nasa.jpl.mudrod.weblog.structure,SessionExtractor.new PairFunction() {...},42,0,2,0,8,0,3,0,2,0
Mudrod :: Core,gov.nasa.jpl.mudrod.weblog.structure,SessionExtractor.new PairFunction() {...},16,0,0,0,3,0,2,0,2,0
Mudrod :: Core,gov.nasa.jpl.mudrod.weblog.structure,SessionExtractor.new Function() {...},21,0,2,0,5,0,3,0,2,0
